lemma	source
acreditar|VERB	crédito|NOUN|Masc
acreedora|NOUN|Fem	acreedor|NOUN|Masc
acribillado|ADJ	acribillar|VERB
acribillamiento|NOUN|Masc	acribillar|VERB
acritud|NOUN|Fem	agrio|ADJ
acrobático|ADJ	acróbata|NOUN|Masc
acrílico|ADJ	acril|NOUN|Masc
acta|NOUN|Fem	acto|NOUN|Masc
actitud|NOUN|Fem	acto|NOUN|Masc
activable|ADJ	activar|VERB
activación|NOUN|Fem	activar|VERB
activar|VERB	activo|ADJ
actividad|NOUN|Fem	activo|ADJ
activismo|NOUN|Masc	activo|ADJ
activista|NOUN|Masc	activo|NOUN|Masc
activo|ADJ	acto|NOUN|Masc
actor|NOUN|Fem	actuar|VERB
actriz|NOUN|Fem	actor|NOUN|Masc
actuación|NOUN|Fem	actuar|VERB
actuador|NOUN|Masc	actuar|VERB
actuado|ADJ	actuar|VERB
actualidad|NOUN|Fem	actual|ADJ
actualismo|NOUN|Masc	actual|ADJ
actualización|NOUN|Fem	actualizar|VERB
actualizador|ADJ	actualizar|VERB
actualizado|ADJ	actualizar|VERB
actualizar|VERB	actual|ADJ
actuante|NOUN|Masc	actuar|VERB
actuar|VERB	acto|NOUN|Masc
acuarelista|NOUN|Masc	acuarela|NOUN|Fem
acuartelamiento|NOUN|Masc	acuartelar|VERB
acuartelar|VERB	cuartel|NOUN|Masc
acuchillar|VERB	cuchillo|NOUN|Masc
acuciante|ADJ	acuciar|VERB
acudido|ADJ	acudir|VERB
acuerdo|NOUN|Masc	acordar|VERB
acumulación|NOUN|Fem	acumular|VERB
acumulador|ADJ	acumular|VERB
acumulado|ADJ	acumular|VERB
acumulamiento|NOUN|Masc	acumular|VERB
acumular|VERB	cúmulo|NOUN|Masc
acuoso|ADJ	agua|NOUN|Fem
acupuntora|NOUN|Fem	acupuntor|NOUN|Masc
acurrucado|ADJ	acurrucar|VERB
acusación|NOUN|Fem	acusar|VERB
acusador|ADJ	acusar|VERB
acusador|NOUN|Masc	acusar|VERB
acusado|ADJ	acusar|VERB
acuse|NOUN|Masc	acusar|VERB
acuático|ADJ	agua|NOUN|Fem
acuñador|ADJ	acuñar|VERB
acuñado|ADJ	acuñar|VERB
adaptación|NOUN|Fem	adaptar|VERB
adaptador|ADJ	adaptar|VERB
adaptado|ADJ	adaptar|VERB
adecentado|ADJ	adecentar|VERB
adecentamiento|NOUN|Masc	adecentar|VERB
adecentar|VERB	decente|ADJ
adecuación|NOUN|Fem	adecuar|VERB
adecuado|ADJ	adecuar|VERB
adelantado|ADJ	adelantar|VERB
adelantamiento|NOUN|Masc	adelantar|VERB
adelanto|NOUN|Masc	adelantar|VERB
adelgazador|ADJ	adelgazar|VERB
adelgazado|ADJ	adelgazar|VERB
adelgazamiento|NOUN|Masc	adelgazar|VERB
adelgazar|VERB	delgado|ADJ
adensar|VERB	denso|ADJ
adentrado|ADJ	adentrar|VERB
aderezado|ADJ	aderezar|VERB
aderezo|NOUN|Masc	aderezar|VERB
adeudar|VERB	deuda|NOUN|Fem
adeudo|NOUN|Masc	adeudar|VERB
adherencia|NOUN|Fem	adherir|VERB
adherente|ADJ	adherir|VERB
adherido|ADJ	adherir|VERB
adhesivo|ADJ	adherir|VERB
adhesión|NOUN|Fem	adherir|VERB
adicionador|ADJ	adicionar|VERB
adicionado|ADJ	adicionar|VERB
adicional|ADJ	adición|NOUN|Fem
adicionar|VERB	adición|NOUN|Fem
adiestrado|ADJ	adiestrar|VERB
adiestramiento|NOUN|Masc	adiestrar|VERB
adiestrar|VERB	diestro|ADJ
adinerado|ADJ	dinero|NOUN|Masc
adivinación|NOUN|Fem	adivinar|VERB
adivinador|ADJ	adivinar|VERB
adivinado|ADJ	adivinar|VERB
adivinanza|NOUN|Fem	adivinar|VERB
adivino|NOUN|Masc	adivinar|VERB
adjetival|ADJ	adjetivo|NOUN|Masc
adjudicador|ADJ	adjudicar|VERB
adjudicado|ADJ	adjudicar|VERB
adjuntado|ADJ	adjuntar|VERB
adjunto|ADJ	adjuntar|VERB
administración|NOUN|Fem	administrar|VERB
administradora|NOUN|Fem	administrador|NOUN|Masc
administrador|ADJ	administrar|VERB
administrador|NOUN|Masc	administrar|VERB
administrado|ADJ	administrar|VERB
administrativo|ADJ	administración|NOUN|Fem
admirable|ADJ	admirar|VERB
admiración|NOUN|Fem	admirar|VERB
admiradora|NOUN|Fem	admirador|NOUN|Masc
admirador|NOUN|Masc	admirar|VERB
admirado|ADJ	admirar|VERB
admisibilidad|NOUN|Fem	admisible|ADJ
admisible|ADJ	admitir|VERB
admisión|NOUN|Fem	admitir|VERB
admitido|ADJ	admitir|VERB
admonitora|NOUN|Fem	admonitor|NOUN|Masc
adobador|ADJ	adobar|VERB
adobado|ADJ	adobar|VERB
adobe|NOUN|Masc	adobar|VERB
adobo|NOUN|Masc	adobar|VERB
adocenamiento|NOUN|Masc	adocenar|VERB
adoctrinamiento|NOUN|Masc	adoctrinar|VERB
adoctrinar|VERB	doctrina|NOUN|Fem
adolescencia|NOUN|Fem	adolescente|ADJ
adopción|NOUN|Fem	adoptar|VERB
adoptado|ADJ	adoptar|VERB
adoptante|NOUN|Masc	adoptar|VERB
adoptivo|ADJ	adoptar|VERB
adoquinado|ADJ	adoquinar|VERB
adoquinar|VERB	adoquín|NOUN|Masc
adorable|ADJ	adorar|VERB
adoración|NOUN|Fem	adorar|VERB
adorador|ADJ	adorar|VERB
adorador|NOUN|Masc	adorar|VERB
adorado|ADJ	adorar|VERB
adormecedor|ADJ	adormecer|VERB
adormecer|VERB	dormir|VERB
